



SELECT SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY)
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V')
AND (SO.SO_WR_DT Between DATE '2020-12-01' And DATE '2020-12-31')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
AND (SO.SO_STORE_CD Between '32' AND '32')
AND (SO_LN.ITM_CD > '100000000')
AND (SO_LN.ITM_CD < '820999999'))
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD
ORDER BY SO.SO_STORE_CD;





SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 302738565              2
32 303199409              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 303437962              1
32 303497386              1
32 304654975              1
32 304785439              1
32 304788182              1
32 304799995              1
32 304904534              1
32 304977599              1
32 306536220              1
32 306785431              1
32 308654979              1
32 309199405              1
32 309448555              1
32 309487052              1
32 310904520              1
32 310975529              1
32 312138452              1
32 312448550              1
32 312555127              2
32 312770743              1
32 312779640              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 313691936              1
32 314199402              2
32 314937597              2
32 314941445              1
32 317654970              2
32 317799457              2
32 317799990              3
32 319964208              1
32 320184586              1
32 320199715              2
32 320448550              3
32 320473969              1
32 320499812              1
32 320553604              2
32 320555127              2
32 320654975              1
32 320799680              1
32 320799995              2
32 320904510              1
32 320954325              2
32 320962144              2
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 321138453              1
32 321184587              1
32 321199007              1
32 321199401              3
32 321199499              2
32 321437964              2
32 321473960              1
32 321486575              1
32 321499813              1
32 321536229              1
32 321631574              2
32 321691936              1
32 321788183              2
32 322770745              2
32 322941445              1
32 338785439              2
32 342788188              1
32 347799023              1
32 348631575              1
32 350654971              1
32 351631570              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 351785436              2
32 351788189              1
32 352199496              1
32 352536226              2
32 353536227              2
32 355555128              2
32 355904523              1
32 356184588              1
32 356199717              1
32 356437965              1
32 356448552              1
32 356473961              1
32 356631575              1
32 356788184              1
32 356799454              2
32 356799997              1
32 356941445              1
32 356999799              1
32 357199491              1
32 357499815              1
32 357941446              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 357999790              1
32 358199404              2
32 358536222              1
32 359199405              2
32 360199408              1
32 361138451              1
32 361199409              1
32 361799021              1
32 362138452              1
32 362555127              2
32 363654976              1
32 363785430              2
32 364184588              1
32 364199717              1
32 364431280              1
32 364437965              1
32 364448552              1
32 364473961              1
32 364499814              1
32 365904537              1
32 366138456              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 366199719              1
32 366437967              1
32 366536222              2
32 366555121              2
32 366631577              1
32 366799456              2
32 367184581              1
32 367448555              1
32 367631578              1
32 367799990              1
32 367904539              1
32 368941449              1
32 368999793              1
32 370631573              1
32 371473960              1
32 371499813              1
32 394129968              1
32 400166092              1
32 400166129              2
32 400420307              1
32 404166123              2
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 404420301              1
32 404982779              1
32 406166098              1
32 406166125              1
32 408166127              1
32 421988669              1
32 423988661              1
32 426931956              1
32 426982775              1
32 431988661              1
32 432988662              1
32 435988665              1
32 440984210              1
32 448176493              1
32 450699116              3
32 451196870              1
32 452168858              1
32 506025217              1
32 506039836              2
32 506043948              1
32 506056452              2
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 507005571              1
32 507030067              2
32 507043949              2
32 507099035              1
32 508056454              1
32 508099240              1
32 508099632              1
32 508099808              2
32 508914911              1
32 509043941              2
32 509046872              2
32 509099037              2
32 509099809              2
32 516025322              1
32 516043940              3
32 516060972              1
32 517030069              1
32 517039839              2
32 517043941              1
32 517046872              1
32 518025324              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 519030061              2
32 519099039              2
32 519099192              2
32 519099801              2
32 526046873              1
32 528046875              1
32 529005767              1
32 531036552              2
32 532001954              2
32 532099632              1
32 533001955              2
32 533002971              1
32 533061002              1
32 534030616              2
32 535030617              1
32 564499816              1
32 600140141              1
32 600199992              1
32 600429585              1
32 600436340              1
32 600774207              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 603135028              1
32 603142251              1
32 603175197              1
32 603752999              1
32 603781748              1
32 608147143              1
32 608199899              1
32 613147330              1
32 614147331              1
32 615147332              1
32 624142256              1
32 624998158              1
32 625461621              1
32 625510068              2
32 626130986              1
32 626172770              1
32 626725608              1
32 627973844              1
32 630436346              2
32 630459849              2
32 630763527              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 631436347              1
32 631774204              4
32 650429585              1
32 650436340              2
32 653533527              2
32 662461626              3
32 662474332              1
32 667153933              1
32 667429584              1
32 667459703              1
32 667735076              1
32 667745508              1
32 667799943              1
32 674985466              1
32 675132004              1
32 675152614              1
32 675538826              2
32 681730187              1
32 691461621              1
32 705139790              1
32 705632847              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 705756508              1
32 710148873              1
32 744782120              1
32 747789898              1
32 749199231              1
32 749199762              2
32 749439154              1
32 751118285              2
32 751196479              1
32 758144112              2
32 758199763              1
32 758952064              1
32 759144113              1
32 759199764              1
32 759430425              1
32 759578338              1
32 759799386              1
32 759949498              1
32 759952065              1
32 763737611              1
32 767145444              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 767179964              2
32 767774598              2
32 767795732              2
32 767934574              2
32 767987804              1
32 768786847              1
32 770199769              1
32 770952022              1
32 770954874              2
32 770995212              3
32 771199760              1
32 771952035              1
32 775722599              1
32 775954867              2
32 776926720              1
32 776938535              1
32 778969948              1
32 779168600              1
32 783168606              2
32 788199339              1
32 788499563              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
32 789199330              1
32 790199333              3
32 791945212              1
32 792127663              1
32 792725712              1
32 792918177              1
32 794712010              1
32 795637150              1
32 795638568              1
32 795659651              1
32 797199049              1
32 797199330              1
32 797337930              1
32 797712013              2
32 798989211              1
32 800152770              2
32 809414078              2
32 810199427              3
32 810743256              3
32 813177018              3
32 813908211              2
 
546 rows selected.
