


SELECT SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY)
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V')
AND (SO.SO_WR_DT Between DATE '2020-12-01' And DATE '2020-12-31')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
AND (SO.SO_STORE_CD Between '24' AND '24')
AND (SO_LN.ITM_CD > '100000000')
AND (SO_LN.ITM_CD < '820999999'))
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD
ORDER BY SO.SO_STORE_CD;



SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 371689171              2
24 372192991              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 394150076              1
24 400165040              2
24 400420307              1
24 400900862              1
24 400922197              1
24 400990671              1
24 403195755              1
24 403195921              1
24 404420301              1
24 404900866              1
24 405195757              1
24 405195923              1
24 406160147              2
24 406165046              2
24 408160149              2
24 408165048              3
24 408900860              1
24 410929826              2
24 414965383              1
24 415965384              1
24 421924881              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 421945645              1
24 423924883              1
24 426785145              1
24 430195493              1
24 430795370              1
24 430965383              1
24 431183893              1
24 431924883              1
24 431965384              1
24 432183894              1
24 432924884              1
24 432965385              1
24 435183897              1
24 435924887              1
24 436183898              3
24 440132710              1
24 440139106              1
24 440139827              1
24 501030061              2
24 502056458              2
24 502099193              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 502099802              2
24 506025217              1
24 506039836              1
24 506048190              1
24 506082875              1
24 507030067              1
24 508043940              1
24 508056454              2
24 508088881              1
24 508099632              1
24 509043941              2
24 509046872              2
24 509075568              2
24 509099809              2
24 510025326              4
24 511030063              2
24 512099638              1
24 516025322              1
24 517005763              1
24 517030069              1
24 517039839              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 517043941              1
24 518043942              2
24 518065506              2
24 519030061              2
24 519043943              4
24 519046874              2
24 519099192              2
24 521045256              1
24 522077545              2
24 522099630              1
24 523035699              3
24 529005767              1
24 529014540              1
24 530040207              3
24 530040283              1
24 530065247              3
24 531003298              2
24 531040208              1
24 531044561              2
24 532099199              1
24 533003341              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 533040200              2
24 533065668              1
24 533065858              1
24 534003758              2
24 537044567              1
24 566799941              1
24 600119906              1
24 600436340              1
24 600714655              1
24 601520845              2
24 602119908              1
24 604774201              1
24 605424085              1
24 608126000              1
24 610914081              1
24 613762992              1
24 625427580              1
24 626116203              1
24 627906994              1
24 630424086              2
24 630436346              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 630714651              1
24 631474335              1
24 633520843              2
24 638936762              2
24 650179522              1
24 653757379              2
24 654757370              2
24 657527198              1
24 658527199              2
24 662429589              1
24 662474332              1
24 667729136              3
24 667735076              1
24 670124901              1
24 671714650              1
24 673112050              1
24 675713917              2
24 682634867              2
24 682724870              2
24 688762991              1
24 712653434              1
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 749499566              2
24 751118285              1
24 759199586              1
24 759406599              2
24 759487169              1
24 759599825              1
24 767179964              1
24 767743543              2
24 767755562              1
24 767795732              1
24 770599820              1
24 771599821              1
24 774599824              1
24 775197330              2
24 776199094              1
24 788199048              1
24 788499563              1
24 790199333              1
24 792633298              1
24 793199336              1
24 793337936              3
 
SO ITM_CD    SUM(SO_LN.QTY)
-- --------- --------------
24 795603755              1
24 795637528              1
24 797199330              1
24 797337930              1
24 806123852              1
24 809412062              3
24 812124395              1
24 812717013              3
24 812980123              3
24 813718559              3
 
451 rows selected.
