



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-03-02' And DATE '2021-03-02')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;




SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
02-MAR-21 01 217160023       1
02-MAR-21 01 277160025       1
02-MAR-21 01 292112124       4
02-MAR-21 01 302536226       1
02-MAR-21 01 517099190       1
02-MAR-21 01 526099317       1
02-MAR-21 03 049932850       1
02-MAR-21 03 099000247       2
02-MAR-21 03 099008407       2
02-MAR-21 03 103799005       1
02-MAR-21 03 107993936       1
02-MAR-21 03 137117734       1
02-MAR-21 03 147983159       1
02-MAR-21 03 166542211       1
02-MAR-21 03 200473813       1
02-MAR-21 03 200920381       1
02-MAR-21 03 201920382       1
02-MAR-21 03 202920383       1
02-MAR-21 03 209920380       1
02-MAR-21 03 246530465       1
02-MAR-21 03 248425642       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
02-MAR-21 03 259473812       6
02-MAR-21 03 262473817       2
02-MAR-21 03 263530466       6
02-MAR-21 03 269545019       1
02-MAR-21 03 321783777       1
02-MAR-21 03 323783779       1
02-MAR-21 03 356760681       1
02-MAR-21 03 363760680       1
02-MAR-21 03 440132710       1
02-MAR-21 03 450176776       1
02-MAR-21 03 555977833       1
02-MAR-21 03 557952465       4
02-MAR-21 03 557969066       4
02-MAR-21 03 557977835       2
02-MAR-21 03 558799256       1
02-MAR-21 03 560969061       1
02-MAR-21 03 560977830       1
02-MAR-21 03 561969062       1
02-MAR-21 03 571977833       2
02-MAR-21 03 602540242       1
02-MAR-21 03 603884900       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
02-MAR-21 03 626900650       1
02-MAR-21 03 627900651       2
02-MAR-21 03 631158208       1
02-MAR-21 03 639540245       1
02-MAR-21 03 667729136       1
02-MAR-21 03 667884906       1
02-MAR-21 03 700992490       1
02-MAR-21 03 701992491       1
02-MAR-21 03 710799163       1
02-MAR-21 03 751134936       1
02-MAR-21 03 759599825       1
02-MAR-21 03 770599820       1
02-MAR-21 03 771599821       1
02-MAR-21 03 774599824       1
02-MAR-21 03 910021904       1
02-MAR-21 03 910115509       1
02-MAR-21 03 910121083       2
02-MAR-21 03 910140463       1
02-MAR-21 04 099000247       1
02-MAR-21 04 099008407       1
02-MAR-21 04 100740023       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
02-MAR-21 04 111740026       1
02-MAR-21 04 113740028       1
02-MAR-21 04 144436347       2
02-MAR-21 04 165187191       1
02-MAR-21 04 196985102       1
02-MAR-21 04 301487054       1
02-MAR-21 04 311783775       1
02-MAR-21 04 317783771       1
02-MAR-21 04 319487054       2
02-MAR-21 04 320487057       2
02-MAR-21 04 351487054       1
02-MAR-21 04 355921187       1
02-MAR-21 04 363487058       1
02-MAR-21 04 366921180       1
02-MAR-21 04 650429585       1
02-MAR-21 04 776199727       1
02-MAR-21 04 788499563       1
02-MAR-21 04 923006399       1
