


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-02-02' And DATE '2021-02-02')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD, ITM_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
02-FEB-21 00 111949864       1
02-FEB-21 01 100187093       1
02-FEB-21 01 294148068       2
02-FEB-21 01 400165139       1
02-FEB-21 01 408165137       1
02-FEB-21 03 013731890       1
02-FEB-21 03 013741853       1
02-FEB-21 03 013794525       1
02-FEB-21 03 014520402       1
02-FEB-21 03 014538649       1
02-FEB-21 03 014566852       1
02-FEB-21 03 014569137       1
02-FEB-21 03 099000247       4
02-FEB-21 03 099008407       3
02-FEB-21 03 110199519       2
02-FEB-21 03 134199517       1
02-FEB-21 03 135199518       1
02-FEB-21 03 137117734       3
02-FEB-21 03 147117736       1
02-FEB-21 03 150119951       2
02-FEB-21 03 156910892       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
02-FEB-21 03 200750203       1
02-FEB-21 03 201199468       1
02-FEB-21 03 214199463       1
02-FEB-21 03 230799326       1
02-FEB-21 03 231019402       1
02-FEB-21 03 231799327       1
02-FEB-21 03 235963053       1
02-FEB-21 03 248199463       2
02-FEB-21 03 255199462       4
02-FEB-21 03 260799574       4
02-FEB-21 03 261750206       4
02-FEB-21 03 261963067       8
02-FEB-21 03 263799325       4
02-FEB-21 03 268959382       2
02-FEB-21 03 280148062       1
02-FEB-21 03 281148063       1
02-FEB-21 03 294148068       4
02-FEB-21 03 304919799       1
02-FEB-21 03 309434645       1
02-FEB-21 03 312555127       1
02-FEB-21 03 313198651       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
02-FEB-21 03 321434641       1
02-FEB-21 03 367434645       1
02-FEB-21 03 445177795       1
02-FEB-21 03 446177796       1
02-FEB-21 03 448182737       2
02-FEB-21 03 613199896       2
02-FEB-21 03 660226791       1
02-FEB-21 03 675156333       1
02-FEB-21 03 758461417       1
02-FEB-21 03 767174130       1
02-FEB-21 03 767799742       2
02-FEB-21 03 768799743       2
02-FEB-21 03 792752593       1
