



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-01-31' And DATE '2021-01-31')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;


SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
31-JAN-21 01 100186899       1
31-JAN-21 01 106799008       1
31-JAN-21 01 111186892       1
31-JAN-21 01 113186894       1
31-JAN-21 01 115799009       1
31-JAN-21 01 144608518       1
31-JAN-21 01 160799674       2
31-JAN-21 01 252795083       4
31-JAN-21 01 280148062       1
31-JAN-21 01 281148063       1
31-JAN-21 01 310184584       1
31-JAN-21 01 320711698       1
31-JAN-21 01 372711690       1
31-JAN-21 01 622114700       1
31-JAN-21 01 623114701       1
31-JAN-21 01 645777713       1
31-JAN-21 01 998960756       2
31-JAN-21 03 099000247       2
31-JAN-21 03 099007974       1
31-JAN-21 03 099008407       1
31-JAN-21 03 100743132       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
31-JAN-21 03 101780749       1
31-JAN-21 03 104743136       1
31-JAN-21 03 107923535       1
31-JAN-21 03 108199577       1
31-JAN-21 03 116199577       1
31-JAN-21 03 121199574       1
31-JAN-21 03 126199276       2
31-JAN-21 03 127199277       1
31-JAN-21 03 129199279       1
31-JAN-21 03 134199276       1
31-JAN-21 03 135199277       1
31-JAN-21 03 136199571       1
31-JAN-21 03 140951799       1
31-JAN-21 03 150115597       1
31-JAN-21 03 201550452       1
31-JAN-21 03 208775924       1
31-JAN-21 03 209775925       1
31-JAN-21 03 259550450       6
31-JAN-21 03 259775925       6
31-JAN-21 03 262460517       1
31-JAN-21 03 263775921       2
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
31-JAN-21 03 268770724       1
31-JAN-21 03 268775926       1
31-JAN-21 03 269785752       1
31-JAN-21 03 280148062       1
31-JAN-21 03 281148063       1
31-JAN-21 03 294148068       4
31-JAN-21 03 300799458       1
31-JAN-21 03 301188252       2
31-JAN-21 03 304907667       2
31-JAN-21 03 305907668       2
31-JAN-21 03 312188255       2
31-JAN-21 03 320190820       2
31-JAN-21 03 321188256       4
31-JAN-21 03 322199490       2
31-JAN-21 03 323799455       2
31-JAN-21 03 351563032       1
31-JAN-21 03 352199496       1
31-JAN-21 03 356184588       1
31-JAN-21 03 357199491       1
31-JAN-21 03 363188256       1
31-JAN-21 03 363563036       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
31-JAN-21 03 364184588       1
31-JAN-21 03 364188257       1
31-JAN-21 03 367184581       1
31-JAN-21 03 367188250       1
31-JAN-21 03 400760410       1
31-JAN-21 03 426795374       2
31-JAN-21 03 440139396       4
31-JAN-21 03 509039839       2
31-JAN-21 03 613147330       1
31-JAN-21 03 613152925       1
31-JAN-21 03 614147331       1
31-JAN-21 03 615147332       1
31-JAN-21 03 631436347       1
31-JAN-21 03 672752233       1
31-JAN-21 03 681119713       1
31-JAN-21 03 767770297       1
31-JAN-21 03 792499569       1
31-JAN-21 03 792914193       1
