



SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-01-15' And DATE '2021-01-15')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;


SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
15-JAN-21 01 051975171       1
15-JAN-21 01 052902131       1
15-JAN-21 01 165198649       1
15-JAN-21 01 170114119       1
15-JAN-21 01 171198647       1
15-JAN-21 01 303553603       1
15-JAN-21 01 311783775       1
15-JAN-21 01 323553607       2
15-JAN-21 01 323783779       2
15-JAN-21 01 350553600       1
15-JAN-21 01 352553602       1
15-JAN-21 01 516025322       2
15-JAN-21 01 517030069       2
15-JAN-21 01 523035699       2
15-JAN-21 01 603175197       1
15-JAN-21 01 667729136       1
15-JAN-21 01 673112050       1
15-JAN-21 03 099000247       2
15-JAN-21 03 099008407       2
15-JAN-21 03 104743136       1
15-JAN-21 03 214545014       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
15-JAN-21 03 217139078       1
15-JAN-21 03 220139073       1
15-JAN-21 03 231545015       1
15-JAN-21 03 252550453       4
15-JAN-21 03 254779980       6
15-JAN-21 03 263799325       4
15-JAN-21 03 276139079       1
15-JAN-21 03 292112124       4
15-JAN-21 03 321785430       2
15-JAN-21 03 403195755       1
15-JAN-21 03 405195757       1
15-JAN-21 03 603626461       1
15-JAN-21 03 604706335       1
15-JAN-21 03 630706337       1
15-JAN-21 03 650417592       1
15-JAN-21 03 670252697       1
15-JAN-21 03 671799797       1
15-JAN-21 03 677135812       1
15-JAN-21 03 751118285       1
15-JAN-21 03 774170725       1
15-JAN-21 03 909099788       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
15-JAN-21 03 910113795       1
15-JAN-21 03 981709705       1
15-JAN-21 04 104187097       1
15-JAN-21 04 111187096       1
15-JAN-21 04 129799360       2
15-JAN-21 04 301550287       1
15-JAN-21 04 316550284       1
15-JAN-21 04 320783776       2
15-JAN-21 04 321188256       2
15-JAN-21 04 321555128       1
15-JAN-21 04 338148302       1
15-JAN-21 04 361188254       1
15-JAN-21 04 362188255       1
15-JAN-21 04 366188259       1
15-JAN-21 04 516082877       1
15-JAN-21 04 517082878       1
15-JAN-21 04 625132648       1
15-JAN-21 04 812716035       5
15-JAN-21 04 910111739       2
15-JAN-21 04 926119721       1
15-JAN-21 06 506088889       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
15-JAN-21 06 507099807       1
15-JAN-21 06 534030616       1
15-JAN-21 06 623747079       1
15-JAN-21 06 624747070       1
15-JAN-21 06 653747075       1
15-JAN-21 06 675178923       1
15-JAN-21 06 793199336       1
15-JAN-21 06 923130948       1
15-JAN-21 08 112430676       1
15-JAN-21 08 120762857       1
15-JAN-21 08 121762858       1
15-JAN-21 08 137762856       1
15-JAN-21 08 150119951       2
15-JAN-21 08 169734158       1
15-JAN-21 08 261425649       3
15-JAN-21 08 312138452       1
15-JAN-21 08 312753836       1
15-JAN-21 08 351499580       1
