


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-04-19' And DATE '2021-04-19')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;


SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
19-APR-21 01 115799009       1
19-APR-21 03 038960072       1
19-APR-21 03 049984188       1
19-APR-21 03 051900908       1
19-APR-21 03 099008407       6
19-APR-21 03 099008419       7
19-APR-21 03 100157444       1
19-APR-21 03 100425051       1
19-APR-21 03 105928230       1
19-APR-21 03 105968462       1
19-APR-21 03 106425057       1
19-APR-21 03 106985584       1
19-APR-21 03 113157449       1
19-APR-21 03 113196821       1
19-APR-21 03 114196822       1
19-APR-21 03 140971359       1
19-APR-21 03 160952086       1
19-APR-21 03 163947937       1
19-APR-21 03 163952089       1
19-APR-21 03 169198643       1
19-APR-21 03 201765255       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
19-APR-21 03 269725148       1
19-APR-21 03 296920943       6
19-APR-21 03 300783772       1
19-APR-21 03 302738565       1
19-APR-21 03 303497386       1
19-APR-21 03 312738567       1
19-APR-21 03 320738567       2
19-APR-21 03 323497380       2
19-APR-21 03 323738560       2
19-APR-21 03 323783779       2
19-APR-21 03 348698931       1
19-APR-21 03 355738568       1
19-APR-21 03 356497389       1
19-APR-21 03 361698938       1
19-APR-21 03 362738567       1
19-APR-21 03 364497389       1
19-APR-21 03 366497381       1
19-APR-21 03 368738563       1
19-APR-21 03 372698931       1
19-APR-21 03 431748170       1
19-APR-21 03 432748171       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
19-APR-21 03 448189022       1
19-APR-21 03 449189023       1
19-APR-21 03 530036551       2
19-APR-21 03 603126005       1
19-APR-21 03 625184522       1
19-APR-21 03 626152920       1
19-APR-21 03 627172771       1
19-APR-21 03 688184527       1
19-APR-21 03 924214062       2
19-APR-21 04 100761750       1
19-APR-21 04 100948047       1
19-APR-21 04 128799509       1
19-APR-21 04 142914147       1
19-APR-21 04 159756366       1
19-APR-21 04 302473967       1
19-APR-21 04 312473969       1
19-APR-21 04 321473960       2
19-APR-21 04 351473966       1
19-APR-21 04 363473960       1
19-APR-21 04 367473964       1
19-APR-21 04 906120047       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
19-APR-21 04 906187100       1
19-APR-21 04 910112743       2
19-APR-21 04 910217505       2
19-APR-21 04 926726641       1
19-APR-21 04 954720807       1
19-APR-21 06 099007962       1
19-APR-21 06 099007974       2
19-APR-21 06 099008407       1
19-APR-21 06 099008419       2
19-APR-21 06 103790691       1
19-APR-21 06 105929686       1
19-APR-21 06 106929687       1
19-APR-21 06 108929689       1
19-APR-21 06 111790691       1
19-APR-21 06 114699614       1
19-APR-21 06 118929681       1
19-APR-21 06 137117734       1
19-APR-21 06 208994586       1
19-APR-21 06 261994581       6
19-APR-21 06 262112801       4
19-APR-21 06 268779986       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
