


SELECT SO.SO_WR_DT, SO.SO_STORE_CD, SO_LN.ITM_CD, SUM(SO_LN.QTY) AS QTY
FROM INV.ITM ITM, SALES.SO SO, SALES.SO_LN SO_LN
WHERE SO_LN.ITM_CD = ITM.ITM_CD AND SO.DEL_DOC_NUM = SO_LN.DEL_DOC_NUM AND ((SO.STAT_CD<>'V'))
AND (SO.SO_WR_DT Between DATE '2021-04-09' And DATE '2021-04-09')
AND (SO.SO_STORE_CD Between '00' And 'SS')
AND (SO.ORD_TP_CD='SAL') AND (SO_LN.VOID_FLAG<>'Y')
GROUP BY SO_LN.ITM_CD, SO.SO_STORE_CD, SO.SO_WR_DT
ORDER BY SO.SO_STORE_CD;



SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
09-APR-21 00 134199276       1
09-APR-21 03 053926168       1
09-APR-21 03 099008407       1
09-APR-21 03 099008419       1
09-APR-21 03 099009411       1
09-APR-21 03 103790071       1
09-APR-21 03 105959564       1
09-APR-21 03 115790075       1
09-APR-21 03 125959568       1
09-APR-21 03 144130046       2
09-APR-21 03 235954016       1
09-APR-21 03 248425642       4
09-APR-21 03 254425640       4
09-APR-21 03 276954015       1
09-APR-21 03 301487054       2
09-APR-21 03 304785439       1
09-APR-21 03 304914218       1
09-APR-21 03 319914215       1
09-APR-21 03 320188255       1
09-APR-21 03 320487057       2
09-APR-21 03 323785432       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
09-APR-21 03 334188251       1
09-APR-21 03 335188252       1
09-APR-21 03 351785436       1
09-APR-21 03 356962576       1
09-APR-21 03 358948580       1
09-APR-21 03 359948581       1
09-APR-21 03 363785430       1
09-APR-21 03 367962579       1
09-APR-21 03 518065506       1
09-APR-21 03 529005553       1
09-APR-21 03 603252696       1
09-APR-21 03 638252697       1
09-APR-21 03 700112701       2
09-APR-21 03 740965693       1
09-APR-21 04 270698700       1
09-APR-21 04 521045256       1
09-APR-21 04 622114700       1
09-APR-21 04 623114701       1
09-APR-21 04 626132372       1
09-APR-21 04 673114713       1
09-APR-21 04 809953311       3
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
09-APR-21 06 128799509       2
09-APR-21 06 137117734       1
09-APR-21 06 144120007       1
09-APR-21 06 147117736       1
09-APR-21 06 230799124       1
09-APR-21 06 232799126       1
09-APR-21 06 254799122       6
09-APR-21 06 261425649       3
09-APR-21 06 270612003       2
09-APR-21 06 301198823       1
09-APR-21 06 312788182       1
09-APR-21 06 322788184       3
09-APR-21 06 348788184       1
09-APR-21 06 351797556       1
09-APR-21 06 355788183       1
09-APR-21 06 363188256       1
09-APR-21 06 364188257       1
09-APR-21 06 366797553       1
09-APR-21 06 367188250       1
09-APR-21 06 608147143       2
09-APR-21 06 633147144       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
09-APR-21 06 759599825       1
09-APR-21 06 767174130       1
09-APR-21 06 926053543       1
09-APR-21 07 014429915       1
09-APR-21 07 014431984       1
09-APR-21 07 099690515       1
09-APR-21 08 097599103       1
09-APR-21 08 147117180       1
09-APR-21 08 147199168       1
09-APR-21 08 148199169       1
09-APR-21 08 263495650       3
09-APR-21 08 345499025       2
09-APR-21 08 356738569       1
09-APR-21 08 357738560       1
09-APR-21 08 364738569       1
09-APR-21 08 368738563       1
09-APR-21 08 506025217       1
09-APR-21 08 509082878       2
09-APR-21 08 751134936       1
09-APR-21 08 909099081       1
09-APR-21 08 923166056       1
 
SO_WR_DT  SO ITM_CD        QTY
--------- -- --------- -------
